Game Number,Player 1 Total Score,Player 1 Moves,Player 2 Total Score,Player 2 Moves,Winner
1,306,JINXED; MAX; BACHA; MAXED; DEICED; VEE; AFF; GHI; EKKA; MALLAM; JAK; NONA; LEIR; BONNES; NURRS; AFFY; ZO; WE; TIN; NO; EN,335,THROWN; BACH; ICED; BENDED; NEVE; BEE; EGG; JA; LEI; MEIN; BONNE; LOOP; SPORES; MALLAMS; SUQ; ZO; TEGG; TI; ST; ET,Player2
2,340,ANNEX; AALS; ADDAX; JADED; ANNEXE; FEED; GED; QI; BIGG; FLEEK; ELMEN; NOON; POORI; ACCENDS; SPURNS; WYE; WYES; ZE,287,NUMBS; QAT; ACCEND; DEBE; ANNEXED; DEF; HEH; AJI; KIKE; MENG; QIN; GONE; RENO; DEFTER; EWT; ORT; TI,Player1
3,251,THEWES; AW; SAD; CAA; EAR; MEE; AGEE; JAGA; KELIM; JA; NOLO; REMENDS; POOPS; CEDER; UNLIKED; YEX; TOWT; ZE; SEN; AN,325,EMENDS; CRAW; EBB; CEDE; TEENDED; EFFED; GHEE; LIKED; KININ; MONG; POOP; SCRAW; PORT; TOUR; EX; OWT; SPORT; ZE; NU,Player2
4,296,ENCODE; AB; ENCODED; CAA; BOA; FEE; HAGG; JIAO; FILLE; HAGGLE; JOL; PI; FILLER; QIN; SORN; RUNT; EWT; VEX; NEWT; FEET; NAH,360,DERBY; CATTY; BEDDED; CEE; DEE; FEED; GHEE; KIEKIE; MMM; ENG; KOI; QI; PRONK; PRONKS; FEEDS; URNS; EX; ZA; WE; KOIS; ZE,Player2
5,299,KEENO; JANE; BACCA; BEDE; CEE; CEE; HIED; AKELA; MELA; ONS; GRR; SONS; STOTT; UNTUNE; OY; OX; BEDEW; ZA; VAR,300,JEFE; KABABS; BACCAE; DEVA; DEEDED; HENGE; GIF; KILIM; MONGO; POP; REF; JANES; TED; EW; NOY; UR; NIL; AR; MEN,Player2
6,305,WEAKEN; PUB; ADAW; WEAKENED; PUBE; BEEF; AIT; KAIKAI; MNEME; JELLO; NOON; FERN; KAIKAIS; FERNS; ER; PUTT; NY; JOW,267,EMPART; CECA; REDDED; EEVEN; BEEFED; HEH; GIGA; JELL; EL; DOG; JO; NOR; EMPARTS; GIGAS; BEEFS; AT; ZE; ST,Player1
7,283,OFTEN; ANOW; ACCA; BACCA; CAA; TEA; ED; EE; HE; KEG; LEKE; GEM; GLOM; PRE; PRESS; FER; TURN; OX; TWA; HEN; UN,335,SOWF; ARABIN; JA; BACCAE; SOWFED; DEED; JADED; JEFE; GHI; KILL; MENING; MOO; PRE; JEFES; GLOMS; QIS; TUT; YEN; ZED; ZE; EEN,Player2
8,261,FUNKS; ANEW; CAD; DEADED; DECADE; AGEE; AJEE; ALLEE; JINNI; CACAO; NINON; ROO; ERRS; QIS; TSK; BEZ; VOR; TRON; RAGEE; ET,345,JEWIES; CACA; NEBBED; DECAD; FEG; HEH; GELEE; MALLEE; MM; MOOK; PE; HEPS; QI; STUNK; WYN; XU; VIM; GAT; ROON,Player2
9,281,COUSINS; CAA; CAAED; DAE; EF; GABBED; HAUGH; JEE; EIK; MAMMA; NAME; NOEL; PIR; PORN; THE; TA; VAR; NEWT; NOW; ST,294,FUNDERS; ABBED; SECEDED; BEE; FEE; UGH; GIE; KIKE; HELL; JEE; MOOL; BEEP; PORAE; HAUGHS; SHAUGHS; SHELL; EWT; NY; OX,Player2
10,315,PHT; AVAST; BACCA; JEERED; BACCAE; GEED; JEE; KEELIE; NIM; NOON; QOPH; KEELIES; STONK; WYN; OX; WOX; STONKS; MEN,334,PERTER; RABAT; TAD; REDDENDA; EFFED; HIC; GEEK; GILL; MM; GONK; QOPHS; ORT; UVA; ZEL; ZEX; NURR; BEN; UN,Player2
11,341,KENNETT; AAL; NADA; CEDED; GAE; ABBE; FEG; AIA; LEKKED; INCEDED; MMM; QI; SERON; QINS; JENNETS; EWTS; ZUZ; TEX; ROVEN; NUR,344,PLONK; CRAAL; ABB; DEGGED; TEC; EFF; HEH; JIN; KELIM; JENNET; POO; QIN; CRAALS; TORR; ROVE; NY; EX; NEWTS; UG; WE,Player2
12,348,HEAPER; AAH; FENCED; DEFENCED; CAA; IDEE; GOAF; HAGG; KIEKIE; FELL; JA; MM; MOC; HAGGLER; ERR; SONS; TI; UT; KY; XI; NY; ZEN; HET; ZA; TEN,335,PIVOT; FENCE; CEDE; EBBET; PIVOTED; CEDED; GED; JIG; HAGGLE; KEEK; KEEN; NOD; PA; ORD; HEAPERS; PASES; SUN; EW; ZE; WO; WON; VET; FON; MEN,Player1
13,346,REBAR; DECEIVER; BAD; CAA; DEE; AFF; GHEE; ROJAK; KELL; HMM; JOE; GOON; PORN; KELLS; ROJAKS; KEELIES; ST; SUQ; POX; ZE; WO; VINA; NTH; DIET,330,DECEIVE; CACK; REEDBED; CACKED; DEE; EGG; DIE; KEELIE; MIL; DEN; MILO; PE; MILOR; SKELLS; TEGG; IT; UMM; WET; AFFY; ZEA; ANN; UN; ON,Player1
14,245,REDATE; GAU; DADA; DEE; CEE; GAGED; JEFFED; JAILER; INN; IKAN; NOON; QI; QIS; EARNT; RAX; EW; EW,325,GELD; ABB; CECA; EMENDED; EFFED; HIE; KIEF; ELK; HMM; OKE; PREDATE; PORNO; STOSS; STUNT; NY; MEZZ,Player2
15,281,CRESYL; KAKA; DADA; BAAED; NAE; CALKING; FEH; JEEL; MNEME; GONK; APP; RICH; CRESYLS; QIN; SUTOR; ZO; ZE; ZEN,337,CALKIN; DEBBY; CEDED; NEED; FEE; GHEE; ICH; MEG; JINNE; INCEDED; QI; ROO; SOSS; TOTTER; TUX; WEM; DAW,Player2
16,269,ENGINE; BOA; DADA; DAE; CEE; NEAFFE; HAHA; KLIK; ELEMI; NOMOI; PRE; KLIKS; NEAFFES; PRENTS; MM; OPT; LADY; TREW; ZE,301,BONING; QADI; ACCEDED; BED; CEE; FEG; JEE; GELEE; EEK; NOON; QADIS; BONINGS; PRENT; TRES; TRUNK; TUX; EW; MOWN,Player2
17,280,BODGER; CAZ; DAG; BA; VEE; EFF; HEH; HAJJ; ALKALI; NIM; NEVE; PE; ERN; BODGERS; ART; YO; XI; DEN; NE; ZEN,330,RECCES; DABS; BEDDED; EVE; ZEE; EGG; GIE; KIKE; EMBEDDED; KEELMEN; NOOGIE; QI; PORNO; STOTTS; UTU; NOW; WET; REH; ZE,Player2
18,339,ECOTAGE; BAE; DADA; DEAD; EX; GAE; FEE; HIC; KIKE; MAMMEE; LEX; NONI; PEN; ROON; SORNS; SUQ; TROOP; WYNS; NETT; ER,301,TUFT; XU; ODD; BECKE; CEE; ENE; GHEE; QI; GLEI; JILL; JA; FEEN; OOP; MAMMEES; TUFTS; ROOP; JAW; NY; ZE; ZEN,Player1
19,308,WEAVER; BABA; WENDED; CEE; DEGAGE; VIAE; HILL; INCEDED; MI; HILLO; JOG; BAL; WEAVERS; MINKS; TROPPO; TO; SUQ; WE; XU; ZEN; ST; EN,320,ZAFFER; DACHA; CEDED; DEED; GHI; KEB; KEEL; MENG; MINK; MOON; OPPO; ZAFFERS; MENGS; GHIS; DIT; ERR; TURNT; FY; ZE; ERN; ON,Player2
20,288,DZEREN; CAA; CANADAS; BEE; CEE; EGGED; JIG; ALLEGGED; MINNIE; NOM; OOP; RORES; DZERENS; SUN; SPAWN; KY; ZE; IT; TE; TE,309,ROCS; AXMAN; ABBE; DEEDED; EFFED; FEEING; JABBED; HM; HM; KONK; REFFED; SPA; QI; QIN; WUS; KAE; ST; AL; TE; RE,Player2
21,259,TWIRED; ZA; DAW; AB; BAA; FEED; EGGHEAD; JAKE; KILIM; EM; DAWN; JO; JAKER; REBBES; STEDDED; TREM; LUV; KIN; NAN; AN; NA; EN,360,GLOZED; ECCO; REBBE; TEDDED; DE; FED; AHI; KEEL; MELEE; KNEE; NOON; OPPO; EGGHEADS; SIRS; TROPPO; JOTUNNS; YEH; QI; EX; WEX; ZEN; ST,Player2
22,281,DICOT; BANK; DEED; ABAC; ABACA; EEN; FEG; HAG; KAIK; MIME; ALLELE; HM; POOP; REH; ABACAS; POOPS; TEF; MET; TURN; EW; NY,287,TONKED; DADBOD; BAC; DEE; BEE; FEE; GHEE; JEE; ALLEL; JINGO; OOP; JO; BEER; DICOTS; DADBODS; GHEES; TIL; EAST; RUT; XI; NY,Player2
23,304,SAWAHS; ARABAS; CIRCLED; DADDED; CEE; EGGED; AKEAKE; MMM; EL; JONG; QI; PO; JONGS; JA; EWT; ZEX; ZE; NU; RE; UN; AN,342,AYGRE; CIRCLE; BEDES; EEEW; EFFED; CHI; KEELIE; NINE; NOON; KOP; KEELIES; ROONS; TUP; TIP; EX; TIPT; ZEN; NAV; ELT; NE,Player2
24,312,INJOINT; AA; CAD; JADE; ECAD; CAA; FED; AGEE; JIZ; LIKED; LEMME; MEM; APP; ERK; AHS; SERRS; TURN; SYN; WEN; ZEE; NEW,316,TOZE; BOBO; ECOD; DEF; DEED; QI; GEE; BAGH; HAG; KEEL; KENNEL; KO; ROON; KENNELS; ERRS; STUNT; EW; FEW; XI; TURNT; KON,Player2
25,257,BUTCH; GAT; DADA; DAE; GATE; BEDE; CAGE; AJEE; MILLIE; LENG; INN; NOON; GRR; JEFFS; INNS; YO; ZO; VAE; IN; IN; NE; EN,347,RAWISH; ADDS; SECEDE; JEED; BED; JEFF; HIE; EKE; MILLIEME; LENG; MOKO; POP; NORKS; NUR; OX; YOW; ZEP; EFT; KAT; ET; TE,Player2
