Game Number,Player 1 Total Score,Player 1 Moves,Player 2 Total Score,Player 2 Moves,Winner
1,371,BENDY; YAM; CABANA; KIDDED; BAE; EEK; EFF; GHEE; HAJI; MILLE; LYAM; EEL; INN; NOON; OPPO; MILLERS; TACOS; EFFS; STUN; WINN,137,KID; TEA; AR; DEE; DEE; CEE; EE; GIE; JAR; ZEE; DEEK; NA; TACO; NOM; OBE; EAR; ST; NAG; RUN; UT,Player1
2,355,SKEGG; BAH; BAHADA; RECEDE; CAAED; DEE; KEEF; GIGHE; HAJJI; LEMEL; SHOTTEN; MEFF; KON; POO; ICER; ORT; RUN; VUM; ZE; WE; AWN,180,SHOTTE; AB; REC; ODE; DE; EE; EE; EFF; ICE; KIT; EN; ELM; NONE; BRO; ENS; ON; PST; FY; LEMELS; TA,Player1
3,285,QIS; HAZAN; BACCA; ARDEB; BEE; BE; GEE; GAZE; EIK; MILLIE; MILLIEME; BEEN; KON; OP; REIK; TOPS; TENE; TENET; IN; EW; NU,191,NEONS; HANSE; DADS; AA; DEE; FEE; GEED; HE; NEK; FOE; ELM; NOO; OO; GRR; OPS; TA; ST; UP; SUK; KY,Player1
4,390,FEAZE; FANK; DACE; AKED; BESEE; DAE; BEE; EGGED; AJI; ILIAL; MEL; BESEEM; AMEN; MELON; OON; QI; QIN; PEARS; QINS; PEARST; TURR; DAWN; SWY; GEEZ; NY; UN,190,BES; EA; DA; BEES; DE; CEE; GEE; HI; HEN; DAM; NED; EN; HOE; OD; PEA; OK; SEN; OR; SJOE; THEN; ST; STRUT; UP; ZEK; AX; ORF,Player1
5,345,GRR; JACAL; BACK; EDGER; NEEDED; CEE; HEED; JEE; GILLIE; MENG; INN; NOON; PREE; GILLIES; SH; TURME; HEEDY; BOX; WHOA; NY; IN,188,REELS; SIKA; DAD; AA; ED; NEE; ABA; FID; EKE; MM; FON; HOA; GOOPS; DENT; SUR; EWK; UT; TEE; TUT; JEEZ,Player1
6,360,PARIANS; BABA; IDEAED; DEE; CEE; EGGED; AHEAP; HILLED; FIN; MELL; NEK; KON; POOH; MELLS; RACED; SOM; NTH; RUSA; NY; FOX; IT; NU,177,SEMENS; DI; ACED; CEDER; EE; FED; EEK; ELL; JA; NE; OM; MONO; JOR; OS; AIRT; EN; FUG; EW; TE; TWP; VEGGED,Player1
7,372,TRUCKLE; CAA; TRUCKLED; DADA; EAT; BEE; DEE; FEG; HAG; JIG; NINJA; HAME; JEON; PROA; SORNS; ST; SUQS; NOX; EW; EWT; KIT; ZOO,177,MONK; AB; END; DENE; FE; BE; DEED; HE; CIGGIE; MEM; EEL; LO; ON; AN; ENS; KI; ER; KO; PEND; TRYST; FEN,Player1
8,359,FLYMAN; YABA; HADED; ADEEM; DEE; HID; AIGA; KIKE; LEME; LINE; ONLINE; ONO; QI; PED; SHADED; NEEZES; OPT; MENT; UNSHADED; GRR; ZE; TEW; IN; VIN,177,HEAME; ED; BEDE; NEEZE; DE; GIG; FA; LI; DECK; EN; GONK; ON; ER; OP; ER; RE; SO; OPTS; TUT; KIKES; EW; EW; JO; XU,Player1
9,392,LEVEE; AWEEL; WAAC; DABBA; DEG; LEVEED; KEEF; VIE; KIEKIE; MEM; MEN; HON; FIGO; OP; JOR; ROO; KIEKIES; GHIS; THEED; TEAK; URNS; AX; ZAX; YEW; WARN; NE,175,EL; GANE; KED; DEE; EE; HEED; CAD; FIG; GHI; LI; INN; JOE; OO; AR; ARM; SEN; SER; HONS; ST; SENT; DEET; YE; NU; PLU; JUG,Player1
10,343,ZAYIN; AY; CAY; DECAY; DAE; BAE; BAE; BEE; ENEW; GAE; JIAO; KAIL; MMM; KID; NEK; NOON; PORNO; REFFED; KAILS; ST; SUQ; TWP; XU,144,AGIN; ID; ED; BA; DE; BE; WED; EE; EFFED; EE; HE; GEL; NID; NEE; HO; LO; PRE; CEE; TI; ORT; NUNS; ES,Player1
