Game Number,Player 1 Total Score,Player 1 Moves,Player 2 Total Score,Player 2 Moves,Winner
1,236,DYER; PAAN; AB; JA; CEP; DE; EEL; FEEB; GEE; CEDE; GI; GILD; NE; IN; KHI; NO; MON; KOR; ON; BEEFS; JINN; ST; TSK; URP; OS,168,ELD; TE; DAD; AA; EA; RAVE; CEPE; EE; EH; DI; BEEF; MI; EN; ME; IN; EON; OON; MONK; RE; MONKS; TRAVE; US; INN; ADZ; PWN,Player1
2,167,SEA; OE; AN; AIA; LEDE; EE; BEEF; HAH; KIF; MI; EN; CEE; KO; NOR; INKS; MM; ONST; TUT; SWY; ROE,148,JEON; BANAL; DA; DEED; DEE; EE; EGG; JEE; ELM; IN; ANN; NONG; POP; ANNS; LO; RAIA; UG; RED; WE; CHE,Player1
3,189,WO; SEE; ATS; COBZA; ED; BEDAD; EE; GEE; FIE; DEEK; ELK; JICAMA; SEEL; INN; NO; AN; GONG; NO; OM; GEES; SEWERS; UR; UT; URP,220,ZED; TA; CATS; DO; CAMA; DEE; AFF; GEE; IDEE; EH; LEEK; HM; IN; KIN; NOH; NON; PEH; ON; GETAS; KINS; ST; RUT; NY; PWN,Player2
4,134,VAE; TAX; ODA; PEC; AD; DE; DE; EF; CEE; BIB; JIB; HM; KI; MIG; DEN; KON; NOO,121,EWE; PE; DA; AGE; ACE; EE; EE; HE; EE; JIG; EL; ELM; LIN; NAE; EFF; NONI,Player1
5,185,NETE; ABA; AA; CERED; DEN; FEE; EE; HE; KIEF; LI; FEME; HIN; EEN; NO; ELK; SEE; POST; MOG; NOWN; NY; ELT; PI,195,SONNET; ARBA; DE; DEE; CEDE; AD; RIG; ED; FE; EL; GAD; SANK; MON; PO; ORG; HOS; SORTS; UT; UR; WYN; HEX,Player2
6,197,EEN; LAD; AA; ADD; AE; BE; FEE; CH; GI; GEL; KLANG; OO; NE; MORN; PO; PONTS; ST; UTS; WUS; ST; NY; UT,179,EN; NANO; CIRCA; DEB; NEE; EE; FEE; HIDE; BEG; MIM; ANN; ONE; OK; JAI; NOR; ES; UT; RUTS; KID; PST; WEEN,Player1
7,153,EH; SAM; AA; KA; ED; AD; DEE; DEEV; BE; GEE; EE; DI; GI; EL; MIL; IN; EEK; DIN; MO; MON; SON; PO; PI; BADS,167,AW; AVAS; AAS; ZA; CUD; BEDE; DE; EE; FEE; ID; FEE; EH; EF; ILK; NE; INN; NE; OK; NON; ON; NEG; NOR; NOS; ST,Player2
8,197,EE; APER; DEN; DA; ECCE; DEBE; HEIGH; REEF; FILK; ING; EEK; NO; NO; NON; OS; KINK; REEK; EEW; UT; UT; RECCE,191,FRAME; FAA; DRAB; AHED; EE; GEE; EE; EL; EM; LIN; IN; ONO; POM; ONS; EANS; ST; LINT; OS; APERT; MY; WOS,Player1
9,187,SIN; EA; TAALS; DAB; DERED; DEE; EF; EDH; FEG; LIE; ELHI; NEF; NON; NOON; PO; OOR; PORN; NENES; MIS; JUN; UT,158,TED; KEA; ABAC; LEEK; EA; REE; GAB; ACNE; EKE; MI; ING; ON; NENE; EN; OO; ER; EDS; PLIE; JUS; MU; MUTT,Player1
10,203,KEN; NYAS; CAAS; CAD; ADO; DEE; DEE; EE; EE; DA; HEAD; FY; EKE; MEE; ME; MENING; OO; OP; ARS; LEKE; DEERS; TUTS; VARS; UT,171,ZE; AA; AB; DA; AM; RE; EN; BEN; GEED; GI; EM; EF; HILL; REIN; INN; NO; NOM; RE; NEF; GIT; REINKS; PUR; CON; THE,Player1
11,178,NEP; PA; BAA; AD; EF; ZEP; EE; CEDE; DEER; IN; INK; MIG; NE; FIN; NON; EON; MOOR; LEERS; ST; VORS; IT; ZA; REAN; NONG,201,LUNE; AD; CABS; EA; ADRAD; LEE; ED; FEEB; HIE; EEK; EH; LEK; EM; ENG; LONG; RONE; ORS; EAN; SOUT; SMOOR; WEM; YE; ST,Player2
12,245,TEL; HAN; NAB; ACED; EE; DEE; EE; CIG; KEEK; FILMING; EN; ON; KOOK; NOSE; EMS; ES; SMEE; UPRUN; TWP; WEN,158,SIREE; TALA; BA; DEED; HEEDED; FAE; EE; FIL; DIG; JNANA; NO; ON; JOHN; TALAR; DEERS; TEER; ST; UP; NY; ST,Player1
13,179,VINA; AMA; FAA; DEWED; BAE; CEE; WEE; GEE; EE; HE; EN; NAB; EM; OK; KOLO; PE; EMS; SO; PEN; SI; LUR; UR; ST,233,OM; CABANA; VID; CEE; ED; DEN; DEG; CH; GIE; NONE; ILK; EN; FILK; NO; NONI; VINAL; NO; NOMS; ST; SOT; UTU; PRYS; ST,Player2
14,169,OE; AMEN; CACA; DE; BEE; BEDE; AGEE; FEH; LIE; KEF; INN; MOC; PO; SPED; TO; OR; TUG; PENK; KY; EWT,154,NISH; GAR; AS; DEAD; DAE; EF; ED; EKE; KELL; MINNIE; EN; NOON; MORN; ER; IS; NUT; WAB; MINNIES; RAMEN; TOR,Player1
15,210,DE; INFRA; ABACA; EE; EE; CEE; EE; KA; EF; RECK; NIL; NEE; ON; NOO; KOR; SHEA; INN; STUNT; NOOKY; WOPS; WADD,192,BUR; ATAMAN; ADD; ENDED; DEERE; EGG; DEG; GEE; ILL; MI; IN; OKA; JOHN; KO; KONS; OPS; ME; EST; GUR; ST; NY,Player1
16,170,ZEE; AL; BABA; DAG; DEED; FEED; GHEE; IDEE; EIK; MM; EEN; LIG; ONE; POO; AR; PAR; LES; TEEN; DERN; NUR; ST,154,ERM; YOM; BECK; DE; CEE; EE; DAE; CHA; KI; LANE; NAN; ANN; JO; ONO; SH; FEEDS; IT; ST; URN; ST,Player1
17,188,TONER; RIZA; CABA; DEAD; EE; ED; DEB; AGE; FIFI; GIN; EKE; ME; MEL; ANN; NONI; AR; LOR; EN; SH; EDS; TUPS; URN; TURN; IT,193,OW; AYE; DAB; JEREED; EE; FEE; GHEE; KECK; GI; EL; AN; EN; LO; OO; GINN; MED; FIFIS; SO; LOSS; UT; VAR; SOM; PI; LORN,Player2
18,224,NEEM; ALAE; JAB; AD; DEBE; DEE; AE; FAH; EGGED; KI; MM; LO; KOP; OR; PREP; SO; TSK; LOT; OR; IN; SH; TED; WYN,147,ENE; AUF; ENE; EN; CEDE; DE; AGEE; HI; ILIA; KEN; NONA; OON; NO; NO; ENES; RAGEE; NOS; NU; KENT; TIN; TORR; ENEW,Player1
19,214,DIB; ARTAL; LADS; RECEDE; CEE; EE; EE; BEEF; KED; EH; JEE; ENG; BAM; FEH; MOKI; POON; RE; OS; NE; PST; RUNG; YU,178,AT; AA; HOA; EE; ED; CEE; EPODE; HIE; KA; GEE; MILKED; LEAT; ING; GO; EON; NE; DEN; NOS; ENGS; NURS; XU,Player1
20,190,EE; AI; AAL; CADEE; LEED; DEEN; FEEZED; TIE; EH; ELK; EM; ENG; HID; NE; ON; NO; OP; KON; MON; EMS; SCAD; GRR; ST; TUT; UT,194,NEE; ZEA; TWA; AD; CABA; EE; FEE; GAD; DIE; KI; NEE; EM; EN; CAD; ON; OON; ON; NEEP; RAI; BRR; SOP; ST; URNS; JUT; NY,Player2
21,207,HE; EA; ALA; DADA; TEED; AGEE; FE; GEE; HIE; EIK; MEE; QI; LEA; KI; MM; ON; CONN; NOON; ONOS; PRO; ST; RUST; NU; NUT; KNUT; GEEZ,225,WET; PAEAN; AT; ED; DE; EEL; BE; FEG; BED; LIE; LIN; CH; LIEN; ELM; CHE; NO; ONO; GRR; JO; ALAS; ST; NU; FY; SNY; JOR,Player2
